MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
4984.204301;2;3;2;3;3;3;0.446289539;-66.41707611;-92399.36719;43208.64453;0.016596444;59909.44141
4984.356701;2;3;2;3;3;3;0.446315914;-65.62174225;-91292.71094;43121.32422;0.016767191;59863.41406
4984.509101;3;3;3;3;3;3;0.446342319;-64.82640839;-90186.05469;43034.00391;0.016937934;59817.38672
4984.661501;3;3;3;3;3;3;0.446368694;-64.03106689;-89079.42969;42946.69141;0.017108675;59771.36328
4984.813901;3;3;3;3;3;3;0.446395069;-63.2357254;-87972.80469;42859.375;0.017279415;59725.33594
4984.966301;3;3;3;3;3;3;0.446421474;-62.44038391;-86866.21094;42772.06641;0.017450154;59679.3125
4985.118701;3;3;3;3;3;3;0.446447849;-61.64504242;-85759.625;42684.75391;0.017620886;59633.28906
4985.271101;3;3;3;3;3;3;0.446474224;-60.8496933;-84653.0625;42597.44531;0.017791625;59587.26563
4985.423501;3;3;3;3;3;3;0.446500629;-60.05434036;-83546.50781;42510.14063;0.017962357;59541.24219
4985.575901;3;3;3;3;3;3;0.446527004;-59.25898743;-82439.97656;42422.83594;0.018133087;59495.22266
4985.728301;3;3;3;3;3;3;0.446553409;-58.46363449;-81333.45313;42335.53125;0.018303817;59449.19922
4985.880701;2;3;2;3;3;3;0.446579784;-57.66827774;-80226.95313;42248.23047;0.018474547;59403.17969
4986.033101;2;3;2;3;3;3;0.446606189;-56.87292099;-79120.46875;42160.93359;0.018645277;59357.16016
4986.185501;2;3;2;3;3;3;0.446632564;-56.07755661;-78014;42073.63672;0.018815998;59311.14453
4986.337901;3;3;3;3;3;3;0.446658969;-55.28219223;-76907.53906;41986.33984;0.018986719;59265.125
4986.490301;3;3;3;3;3;3;0.446685374;-54.48682404;-75801.10156;41899.04688;0.019157447;59219.10938
4986.642701;3;3;3;3;3;3;0.446711749;-53.69145584;-74694.6875;41811.75781;0.019328168;59173.09375
4986.795101;3;3;3;3;3;3;0.446738154;-52.89608383;-73588.28125;41724.46875;0.019498888;59127.08203
4986.947501;3;3;3;3;3;3;0.446764559;-52.10071182;-72481.89063;41637.17969;0.019669602;59081.06641
4987.099901;3;3;3;3;3;3;0.446790963;-51.305336;-71375.51563;41549.89453;0.019840319;59035.05469
4987.252301;3;3;3;3;3;3;0.446817368;-50.50996017;-70269.16406;41462.60938;0.020011032;58989.04297
4987.404701;3;3;3;3;3;3;0.446843743;-49.71457672;-69162.82031;41375.32422;0.020181749;58943.03125
4987.557101;3;3;3;3;3;3;0.446870148;-48.91919327;-68056.5;41288.04688;0.020352453;58897.01953
4987.709501;3;3;3;3;3;3;0.446896553;-48.12380981;-66950.1875;41200.76953;0.020523161;58851.01172
4987.861901;3;3;3;3;3;3;0.446920425;-47.32826996;-65814.85938;41111.96094;0.02071083;58807.98438
4988.014301;2;3;2;3;3;3;0.446920604;-46.53134155;-64408.22266;41008.85156;0.021056933;58792.83203
4988.166701;2;3;2;3;3;3;0.446913302;-45.73396301;-62915.54688;40901.20703;0.021453284;58786.51953
4988.319101;2;3;2;3;3;3;0.446905971;-44.93658447;-61422.88281;40793.5625;0.021849627;58780.21094
4988.471501;2;3;2;3;3;3;0.446898669;-44.13920593;-59930.22266;40685.91406;0.02224596;58773.89844
4988.623901;2;3;2;3;3;3;0.446891338;-43.34182358;-58437.57031;40578.26953;0.02264229;58767.58984
4988.776301;3;3;3;3;3;3;0.446884036;-42.54443741;-56944.92578;40470.62109;0.02303862;58761.28516
4988.928701;3;3;3;3;3;3;0.446876735;-41.74705124;-55452.28516;40362.97266;0.023434941;58754.97656
4989.081101;3;3;3;3;3;3;0.446869433;-40.94965744;-53959.65234;40255.32422;0.023831261;58748.66797
4989.233501;3;3;3;3;3;3;0.446862131;-40.15226746;-52467.02344;40147.67578;0.024227575;58742.36719
4989.385901;3;3;3;3;3;3;0.44685483;-39.35487366;-50974.40234;40040.02734;0.024623884;58736.0625
4989.538301;3;3;3;3;3;3;0.446847528;-38.55747604;-49481.78906;39932.375;0.025020188;58729.76172
4989.690701;3;3;3;3;3;3;0.446840257;-37.76007843;-47989.17578;39824.72656;0.025416488;58723.46094
4989.843101;3;3;3;3;3;3;0.446832955;-36.96267319;-46496.57813;39717.07422;0.025812779;58717.16406
4989.995501;3;3;3;3;3;3;0.446825683;-36.16527176;-45003.98047;39609.42188;0.026209069;58710.86719
4990.147901;3;3;3;3;3;3;0.446818411;-35.3678627;-43511.39063;39501.77344;0.026605358;58704.57031
4990.300301;3;3;3;3;3;3;0.44681114;-34.57045364;-42018.80859;39394.12109;0.027001642;58698.27344
4990.452701;3;3;3;3;3;3;0.446803868;-33.77304459;-40526.23047;39286.46875;0.027397923;58691.98047
4990.605101;3;3;3;3;3;3;0.446796596;-32.97563171;-39033.66016;39178.8125;0.027794195;58685.6875
4990.757501;3;3;3;3;3;3;0.446789324;-32.17821503;-37541.09375;39071.16016;0.028190464;58679.39453
4990.909901;3;3;3;3;3;3;0.446782082;-31.38079643;-36048.53516;38963.50781;0.028586727;58673.10156
4991.062301;3;3;3;3;3;3;0.44677484;-30.58337593;-34555.98438;38855.85156;0.028982986;58666.8125
4991.214701;3;3;3;3;3;3;0.446767569;-29.78595352;-33063.44141;38748.19531;0.029379239;58660.52344
4991.367101;2;3;2;3;3;3;0.446760327;-28.9885273;-31570.90234;38640.54297;0.029775489;58654.23828
4991.519501;2;3;2;3;3;3;0.446753085;-28.19109917;-30078.36914;38532.88672;0.030171741;58647.95313
4991.671901;2;3;2;3;3;3;0.446745873;-27.39367104;-28585.8418;38425.22656;0.030567981;58641.66797
4991.824301;3;3;3;3;3;3;0.446738631;-26.59623718;-27093.32031;38317.57031;0.030964214;58635.38281
4991.976701;3;3;3;3;3;3;0.446731389;-25.79880333;-25600.80664;38209.91016;0.031360451;58629.10156
4992.129101;3;3;3;3;3;3;0.446724176;-25.00136757;-24108.30078;38102.25391;0.031756677;58622.82031
4992.281501;3;3;3;3;3;3;0.446716934;-24.20392609;-22615.80078;37994.59375;0.032152899;58616.54297
4992.433901;3;3;3;3;3;3;0.446709722;-23.4064846;-21123.30469;37886.93359;0.032549117;58610.26172
4992.586301;3;3;3;3;3;3;0.44670251;-22.60904121;-19630.81641;37779.27344;0.032945339;58603.98438
4992.738701;3;3;3;3;3;3;0.446695298;-21.81159401;-18138.33398;37671.61328;0.033341549;58597.70703
4992.891101;3;3;3;3;3;3;0.446662784;-21.0092659;-16642.91797;37579.49609;0.033817373;58577.39453
4993.043501;3;3;3;3;3;3;0.446560383;-20.19346237;-15139.3877;37530.28516;0.034512982;58518.33594
4993.195901;3;3;3;3;3;3;0.446437746;-19.3737545;-13633.50098;37493.5;0.035272218;58448.05859
4993.348301;3;3;3;3;3;3;0.44631511;-18.55404282;-12127.61035;37456.71484;0.03603144;58377.78516
4993.500701;4;3;3;3;3;3;0.446192473;-17.73433113;-10621.71387;37419.92188;0.036790662;58307.51172
4993.653101;4;3;3;3;3;3;0.446069866;-16.91461563;-9115.813477;37383.12891;0.037549868;58237.24219
4993.805501;4;3;3;3;3;3;0.44594726;-16.09489632;-7609.907715;37346.33203;0.03830906;58166.97266
4993.957901;3;3;3;3;3;3;0.445824653;-15.27517509;-6103.996582;37309.53516;0.039068233;58096.70313
4994.110301;3;3;3;3;3;3;0.445702046;-14.45545197;-4598.080566;37272.73438;0.039827403;58026.4375
4994.262701;3;3;3;3;3;3;0.445579439;-13.63572598;-3092.15918;37235.93359;0.040586557;57956.17188
4994.415101;3;3;3;3;3;3;0.445456833;-12.81599712;-1586.232788;37199.12891;0.041345708;57885.90625
4994.567501;3;3;3;3;3;3;0.445334226;-11.99626541;-80.30142975;37162.32031;0.042104837;57815.64453
4994.719901;3;3;3;3;3;3;0.445211649;-11.17653179;1425.63501;37125.50781;0.042863965;57745.38672
4994.872301;3;3;3;3;3;3;0.445089042;-10.35679436;2931.576416;37088.69531;0.043623067;57675.12891
4995.024701;3;3;3;3;3;3;0.444966465;-9.537055016;4437.522949;37051.87891;0.04438217;57604.87109
4995.177101;3;3;3;3;3;3;0.444843888;-8.717312813;5943.475098;37015.0625;0.045141257;57534.61719
4995.329501;3;3;3;3;3;3;0.444721341;-7.897568226;7449.431641;36978.24609;0.045900326;57464.36719
4995.481901;3;3;3;3;3;3;0.444598764;-7.077820778;8955.393555;36941.42188;0.046659391;57394.11328
4995.634301;3;3;3;3;3;3;0.444476217;-6.258070946;10461.36035;36904.59766;0.047418445;57323.86328
4995.786701;3;3;3;3;3;3;0.44435367;-5.438317776;11967.33203;36867.76953;0.048177484;57253.61719
4995.939101;3;3;3;3;3;3;0.444231123;-4.618562222;13473.30957;36830.94141;0.04893652;57183.36719
4996.091501;3;3;3;3;3;3;0.444108576;-3.798804283;14979.29199;36794.10938;0.049695533;57113.125
4996.243901;3;3;3;3;3;3;0.443986028;-2.979043484;16485.2793;36757.27734;0.050454535;57042.88281
4996.396301;4;3;3;3;3;3;0.443863511;-2.159280062;17991.27148;36720.4375;0.051213529;56972.64063
4996.548701;4;3;3;3;3;3;0.443740964;-1.339514136;19497.26953;36683.59766;0.051972508;56902.40234
4996.701101;4;3;3;3;3;3;0.443618447;-0.519745469;21003.27148;36646.75781;0.052731484;56832.16797
4996.853501;4;3;3;3;3;3;0.443495929;0.30002588;22509.27734;36609.91016;0.053490438;56761.92969
4997.005901;4;3;3;3;3;3;0.443373412;1.119799852;24015.29102;36573.06641;0.054249387;56691.69531
4997.158301;4;3;3;3;3;3;0.443250924;1.939576507;25521.30859;36536.21875;0.055008326;56621.46094
4997.310701;4;4;3;3;4;3;0.443128407;2.759355784;27027.33008;36499.36719;0.055767246;56551.23047
4997.463101;4;4;3;3;4;3;0.44300592;3.579137802;28533.35938;36462.51172;0.056526158;56481.00391
4997.615501;4;4;3;3;4;3;0.442883402;4.398922443;30039.39063;36425.65625;0.057285063;56410.77344
4997.767901;4;4;3;3;4;3;0.442760915;5.218709946;31545.42773;36388.79688;0.058043946;56340.55078
4997.920301;4;4;3;3;4;3;0.44260025;6.024514675;32940.10156;36379.11719;0.058693003;56267.22266
4998.072701;4;4;3;3;4;3;0.442386121;6.810750008;34178.91797;36407.48047;0.05918837;56189.55469
4998.225101;4;4;3;3;4;3;0.44215855;7.592066288;35378.55078;36445.41016;0.05964509;56110.79688
4998.377501;4;4;3;3;4;3;0.44193098;8.373385429;36578.19531;36483.33594;0.060101811;56032.03906
4998.529901;4;4;3;3;4;3;0.441703409;9.154706001;37777.85156;36521.26172;0.060558539;55953.28125
4998.682301;4;4;3;3;4;3;0.441475868;9.936030388;38977.52344;36559.1875;0.061015271;55874.53125
4998.834701;4;4;3;3;4;3;0.441248298;10.71735764;40177.20703;36597.10938;0.061471999;55795.77734
4998.987101;4;4;3;3;4;3;0.441020757;11.49868679;41376.90625;36635.03125;0.061928734;55717.02734
4999.139501;4;4;3;3;4;3;0.440793216;12.28001881;42576.61719;36672.94922;0.062385477;55638.27734
4999.291901;4;4;3;3;4;3;0.440565676;13.06135464;43776.33984;36710.86719;0.06284222;55559.53125
4999.444301;4;4;3;3;4;3;0.440338135;13.84269142;44976.07813;36748.78125;0.063298971;55480.78516
4999.596701;4;4;3;3;4;3;0.440110594;14.62403202;46175.82813;36786.69531;0.063755721;55402.04297
4999.749101;4;4;3;3;4;3;0.439883053;15.40537548;47375.58984;36824.60938;0.064212479;55323.30078
4999.901501;3;4;3;3;4;3;0.439655513;16.18671989;48575.36719;36862.51953;0.064669229;55244.55859
5000.053901;3;4;3;3;4;3;0.439427972;16.96806908;49775.15234;36900.42969;0.065125994;55165.81641
5000.206301;4;4;3;3;4;3;0.439200431;17.74942017;50974.95703;36938.33984;0.065582767;55087.07813
5000.358701;4;4;3;3;4;3;0.43897292;18.53077316;52174.76953;36976.24609;0.06603954;55008.34375
5000.511101;4;4;3;3;4;3;0.438745379;19.31212997;53374.59766;37014.14844;0.066496313;54929.60938
5000.663501;3;4;3;3;4;3;0.438517869;20.0934906;54574.44141;37052.05469;0.066953093;54850.87891
5000.815901;3;4;3;3;4;3;0.438290328;20.87485123;55774.29297;37089.95313;0.067409873;54772.14844
5000.968301;3;4;3;3;4;3;0.438062817;21.65621567;56974.16016;37127.85547;0.067866668;54693.41797
5001.120701;3;4;3;3;4;3;0.437835306;22.43758392;58174.03906;37165.75391;0.068323456;54614.69141
5001.273101;3;4;3;3;4;3;0.437607795;23.21895218;59373.92969;37203.64844;0.068780243;54535.96484
5001.425501;3;4;3;3;4;3;0.437380284;24.00032616;60573.83594;37241.54297;0.069237039;54457.23828
5001.577901;3;4;3;3;4;3;0.437152803;24.78170204;61773.75781;37279.4375;0.069693841;54378.51172
5001.730301;4;4;3;3;4;3;0.436925292;25.56307793;62973.69141;37317.33203;0.070150644;54299.79297
5001.882701;4;4;3;3;4;3;0.436697781;26.34445953;64173.63281;37355.22266;0.070607454;54221.07422
5002.035101;4;4;3;3;4;3;0.4364703;27.12584305;65373.59375;37393.11328;0.071064264;54142.35547
5002.187501;4;4;3;3;4;3;0.436242819;27.90722847;66573.5625;37431;0.071521089;54063.64063
5002.339901;4;4;3;3;4;3;0.436015308;28.68861771;67773.54688;37468.88672;0.071977906;53984.92578
5002.492301;4;4;3;3;4;3;0.435787827;29.47000885;68973.54688;37506.76953;0.072434723;53906.21094
5002.644701;4;4;3;3;4;3;0.435560346;30.25140381;70173.55469;37544.65234;0.072891563;53827.5
5002.797101;4;4;3;3;4;3;0.435332865;31.03280067;71373.57813;37582.53125;0.073348396;53748.78906
5002.949501;4;4;3;3;4;3;0.435098648;31.83130646;72292.91406;37621.40625;0.073630989;53671.52734
5003.101901;4;4;3;3;4;3;0.434858978;32.64369583;72984.50781;37661.08594;0.073772222;53595.4375
5003.254301;4;4;3;3;4;3;0.434618175;33.45880127;73631.57813;37700.92188;0.073885836;53519.57813
5003.406701;4;4;3;3;4;3;0.434377402;34.27391052;74278.65625;37740.76172;0.073999472;53443.72266
5003.559101;4;4;3;3;4;3;0.434136629;35.08902359;74925.75781;37780.60156;0.074113123;53367.86328
5003.711501;4;4;3;3;4;3;0.433895856;35.90413666;75572.86719;37820.44531;0.074226804;53292.00781
5003.863901;4;4;3;3;4;3;0.433655053;36.71925354;76220;37860.28906;0.074340515;53216.15234
5004.016301;4;4;3;3;4;3;0.43341428;37.53437424;76867.14063;37900.13281;0.074454233;53140.29297
5004.168701;4;4;3;3;4;3;0.433173478;38.34949875;77514.30469;37939.97656;0.074567996;53064.4375
5004.321101;4;4;3;3;4;3;0.432932705;39.16462708;78161.47656;37979.82422;0.074681766;52988.58203
5004.473501;4;4;3;3;4;3;0.432691902;39.9797554;78808.67188;38019.67188;0.074795559;52912.72656
5004.625901;4;4;3;3;4;3;0.432451099;40.79488373;79455.86719;38059.51953;0.074909382;52836.875
5004.778301;4;4;3;3;4;3;0.432210326;41.61001968;80103.09375;38099.36719;0.075023234;52761.01953
5004.930701;4;4;3;3;4;3;0.431969523;42.42515564;80750.32813;38139.21484;0.075137101;52685.16406
5005.083101;4;4;3;3;4;3;0.431728721;43.24029923;81397.58594;38179.06641;0.075250991;52609.3125
5005.235501;4;4;3;3;4;3;0.431487918;44.05544281;82044.85156;38218.92188;0.07536491;52533.45703
5005.387901;4;4;3;3;4;3;0.431247115;44.8705864;82692.13281;38258.77734;0.075478844;52457.60547
5005.540301;4;4;3;3;4;3;0.431006312;45.6857338;83339.42969;38298.63281;0.075592808;52381.75391
5005.692701;4;4;3;3;4;3;0.43076551;46.50088501;83986.75;38338.48828;0.075706787;52305.90234
5005.845101;4;4;3;3;4;3;0.430524707;47.31604004;84634.07813;38378.34766;0.075820796;52230.05078
5005.997501;4;4;3;3;4;3;0.430283874;48.13119888;85281.42188;38418.20703;0.075934827;52154.19922
5006.149901;4;4;3;3;4;3;0.430043072;48.94635773;85928.78125;38458.06641;0.076048888;52078.34766
5006.302301;4;4;3;3;4;3;0.429802269;49.76151657;86576.16406;38497.92578;0.076162964;52002.5
5006.454701;4;4;3;3;4;3;0.429561436;50.57668304;87223.54688;38537.78906;0.07627707;51926.64844
5006.607101;4;4;3;3;4;3;0.429320633;51.39185333;87870.96094;38577.65234;0.076391198;51850.80078
5006.759501;4;4;3;3;4;3;0.429079801;52.20702362;88518.375;38617.51563;0.076505341;51774.94922
5006.911901;4;4;3;3;4;3;0.428838998;53.02219772;89165.82031;38657.38281;0.076619513;51699.10156
