MD;UpscaledThinLayerRemoval;INSPHASE;AMPCONS;RMS;RAI;FLAT;SWT
5365.0896;1;42.8560791;0.222012892;36498.90625;78993.47656;0.00266886;55390.375
5365.242;1;43.57884598;0.22199218;36520.76172;79541.53906;0.00264723;55368.53125
5365.3944;1;44.30160523;0.221971467;36542.61719;80089.60156;0.0026256;55346.6875
5365.5468;1;45.02436829;0.221950755;36564.47656;80637.66406;0.00260397;55324.83984
5365.6992;1;45.74713135;0.221930042;36586.33203;81185.72656;0.00258233;55302.99609
5365.8516;1;46.46989059;0.221909329;36608.1875;81733.78125;0.0025607;55281.15234
5366.004;1;47.19265366;0.221888617;36630.04297;82281.84375;0.00253907;55259.30469
5366.1564;1;47.91541672;0.221867904;36651.90234;82829.90625;0.00251744;55237.46094
5366.3088;1;48.63817978;0.221847192;36673.75781;83377.96875;0.00249581;55215.61719
5366.4612;1;49.36094284;0.221826479;36695.61328;83926.03125;0.00247418;55193.77344
5366.6136;1;50.0837059;0.221805766;36717.46875;84474.08594;0.00245255;55171.92578
5366.766;1;50.80646896;0.221785054;36739.32813;85022.14844;0.00243092;55150.08203
5366.9184;1;51.52923203;0.221764341;36761.18359;85570.21094;0.00240928;55128.23828
5367.0708;1;52.25199127;0.221743628;36783.03906;86118.27344;0.00238765;55106.39063
5367.2232;1;52.97475433;0.221722916;36804.89453;86666.33594;0.00236602;55084.54688
5367.3756;1;53.6975174;0.221702203;36826.75;87214.39063;0.00234439;55062.70313
5367.528;1;54.42028046;0.221681505;36848.60938;87762.45313;0.00232276;55040.85547
5367.6804;1;55.14304352;0.221660793;36870.46484;88310.51563;0.00230113;55019.01172
5367.8328;1;55.86580658;0.22164008;36892.32031;88858.57813;0.0022795;54997.16797
5367.9852;1;56.58856964;0.221619368;36914.17578;89406.64063;0.00225787;54975.32031
5368.1376;1;57.3113327;0.221598655;36936.03516;89954.69531;0.00223623;54953.47656
5368.29;1;58.03409195;0.221577942;36957.89063;90502.75781;0.0022146;54931.63281
5368.4424;1;58.75685501;0.22155723;36979.74609;91050.82031;0.00219297;54909.78906
5368.5948;1;59.47961807;0.221536517;37001.60156;91598.88281;0.00217134;54887.94141
5368.7472;1;60.20238113;0.221515805;37023.46094;92146.94531;0.00214971;54866.09766
5368.8996;1;60.9251442;0.221495092;37045.31641;92695.00781;0.00212808;54844.25391
5369.052;1;61.64790726;0.221474379;37067.17188;93243.0625;0.00210645;54822.40625
5369.2044;1;62.37067032;0.221453667;37089.02734;93791.125;0.00208482;54800.5625
5369.3568;1;63.09343338;0.221432954;37110.88281;94339.1875;0.00206319;54778.71875
5369.5092;1;63.81619263;0.221412242;37132.74219;94887.25;0.00204155;54756.87109
5369.6616;1;64.53895569;0.221391529;37154.59766;95435.3125;0.00201992;54735.02734
5369.814;1;65.26171875;0.221370816;37176.45313;95983.36719;0.00199829;54713.18359
5369.9664;1;65.98448181;0.221350104;37198.30859;96531.42969;0.00197666;54691.33594
5370.1188;1;66.73268127;0.22136268;37166.45313;96609.86719;0.00196195;54621.91016
5370.2712;1;67.48806763;0.221384674;37119.40234;96555.48438;0.0019492;54539.02734
5370.4236;1;68.24346161;0.221406683;37072.34766;96501.09375;0.00193644;54456.14453
5370.576;1;68.99885559;0.221428677;37025.29688;96446.71094;0.00192369;54373.26172
5370.7284;1;69.75424957;0.221450672;36978.24609;96392.32031;0.00191094;54290.37891
5370.8808;1;70.50963593;0.221472666;36931.19531;96337.9375;0.00189819;54207.49219
5371.0332;1;71.26502991;0.22149466;36884.14453;96283.54688;0.00188543;54124.60938
5371.1856;1;72.02043152;0.221516654;36837.09375;96229.16406;0.00187268;54041.72656
5371.338;1;72.77581787;0.221538663;36790.04297;96174.77344;0.00185993;53958.84375
5371.4904;1;73.53121185;0.221560657;36742.99219;96120.39063;0.00184718;53875.96094
5371.6428;1;74.28659821;0.221582651;36695.94141;96066.00781;0.00183442;53793.07813
5371.7952;1;75.04199982;0.221604645;36648.89063;96011.61719;0.00182167;53710.19141
5371.9476;1;75.79738617;0.221626639;36601.83984;95957.23438;0.00180892;53627.30859
5372.1;1;76.55278015;0.221648634;36554.78906;95902.84375;0.00179616;53544.42578
5372.2524;1;77.3081665;0.221670643;36507.73828;95848.46094;0.00178341;53461.54297
5372.4048;1;78.06356049;0.221692637;36460.6875;95794.07031;0.00177066;53378.66016
5372.5572;1;78.81895447;0.221714631;36413.63672;95739.6875;0.00175791;53295.77344
5372.7096;1;79.57434845;0.221736625;36366.58594;95685.29688;0.00174515;53212.89063
5372.862;1;80.3297348;0.221758619;36319.53516;95630.91406;0.0017324;53130.00781
5373.0144;1;81.08512878;0.221780613;36272.48438;95576.52344;0.00171965;53047.125
5373.1668;1;81.8405304;0.221802607;36225.42969;95522.14063;0.00170689;52964.24219
5373.3192;1;82.59591675;0.221824616;36178.37891;95467.75781;0.00169414;52881.35547
5373.4716;1;83.35131073;0.22184661;36131.32813;95413.36719;0.00168139;52798.47266
5373.624;1;84.10669708;0.221868604;36084.27734;95358.98438;0.00166864;52715.58984
5373.7764;1;84.86209106;0.221890599;36037.22656;95304.59375;0.00165588;52632.70703
5373.9288;1;85.61748505;0.221912593;35990.17578;95250.21094;0.00164313;52549.82422
5374.0812;1;86.37287903;0.221934587;35943.125;95195.82031;0.00163038;52466.94141
5374.2336;1;87.12826538;0.221956596;35896.07422;95141.4375;0.00161763;52384.05469
5374.386;1;87.88365936;0.22197859;35849.02344;95087.04688;0.00160487;52301.17188
5374.5384;1;88.63905335;0.222000584;35801.97266;95032.66406;0.00159212;52218.28906
5374.6908;1;89.39444733;0.222022578;35754.92188;94978.27344;0.00157937;52135.40625
5374.8432;1;90.14983368;0.222044572;35707.87109;94923.89063;0.00156661;52052.52344
5374.9956;1;90.89476776;0.222066566;35660.82031;94869.50781;0.00155386;51969.63672
5375.148;1;91.60968018;0.222126335;35543.27734;94369.625;0.00156162;51845.94922
5375.3004;1;92.31261444;0.222187221;35423.64063;93856.49219;0.00156998;51721.04688
