MD;UpscaledThinLayerRemoval;INSPHASE;AMPCONS;RMS;RAI;FLAT;SWT
5343.906;1;4.786365986;0.260861635;48282.79688;36477.51953;0.00653826;75663.71875
5344.0584;1;5.488879204;0.260625541;48277.33203;38255.41406;0.00648193;75738.72656
5344.2108;1;6.191391945;0.260389417;48271.86719;40033.3125;0.00642559;75813.72656
5344.3632;1;6.893905163;0.260153294;48266.40234;41811.21094;0.00636926;75888.72656
5344.5156;1;7.596417904;0.2599172;48260.9375;43589.10938;0.00631293;75963.73438
5344.668;1;8.298931122;0.259681076;48255.46875;45367.00781;0.0062566;76038.73438
5344.8204;1;9.001443863;0.259444952;48250.00391;47144.90625;0.00620026;76113.74219
5344.9728;1;9.706874847;0.259208858;48244.53906;48922.80469;0.00614393;76188.74219
5345.1252;1;10.4305048;0.259025246;48277.37891;50419.07031;0.00612946;76171.03906
5345.2776;1;11.16227531;0.258853018;48318.54297;51854.14844;0.00612408;76133.19531
5345.43;1;11.89404488;0.258680821;48359.70313;53289.22656;0.00611871;76095.35938
5345.5824;1;12.62581444;0.258508593;48400.86719;54724.30859;0.00611333;76057.51563
5345.7348;1;13.35758495;0.258336395;48442.02734;56159.38672;0.00610795;76019.67188
5345.8872;1;14.08935547;0.258164167;48483.19141;57594.46875;0.00610258;75981.82813
5346.0396;1;14.82112503;0.25799197;48524.35156;59029.54688;0.0060972;75943.98438
5346.192;1;15.55289459;0.257819772;48565.51563;60464.62891;0.00609182;75906.14063
5346.3444;1;16.28466415;0.257647544;48606.67578;61899.70703;0.00608645;75868.30469
5346.4968;1;17.01643562;0.257475346;48647.83984;63334.78516;0.00608107;75830.46094
5346.6492;1;17.74820519;0.257303119;48689;64769.86719;0.0060757;75792.61719
5346.8016;1;18.47997475;0.257130921;48730.16406;66204.94531;0.00607032;75754.77344
5346.954;1;19.21174431;0.256958693;48771.32422;67640.02344;0.00606494;75716.92969
5347.1064;1;19.94351578;0.256786495;48812.48828;69075.10938;0.00605957;75679.09375
5347.2588;1;20.67528343;0.256614268;48853.64844;70510.1875;0.00605419;75641.25
5347.4112;1;21.4070549;0.25644207;48894.8125;71945.26563;0.00604881;75603.40625
5347.5636;1;22.13882446;0.256269872;48935.97266;73380.34375;0.00604344;75565.5625
5347.716;1;22.87059403;0.256097645;48977.13672;74815.42188;0.00603806;75527.71875
5347.8684;1;23.60236549;0.255925447;49018.29688;76250.50781;0.00603268;75489.88281
5348.0208;1;24.33413506;0.255753219;49059.45703;77685.58594;0.00602731;75452.03906
5348.1732;1;25.06590462;0.255581021;49100.62109;79120.66406;0.00602193;75414.19531
5348.3256;1;25.79767418;0.255408794;49141.78125;80555.74219;0.00601655;75376.35156
5348.478;1;26.52944374;0.255236596;49182.94531;81990.82031;0.00601118;75338.50781
5348.6304;1;27.26121521;0.255064368;49224.10547;83425.90625;0.0060058;75300.66406
5348.7828;1;27.99298477;0.25489217;49265.26953;84860.98438;0.00600042;75262.82813
5348.9352;1;28.72475433;0.254719943;49306.42969;86296.0625;0.00599505;75224.98438
5349.0876;1;29.4565239;0.254547745;49347.59375;87731.14063;0.00598967;75187.14063
5349.24;1;30.18829536;0.254375547;49388.75391;89166.22656;0.0059843;75149.29688
5349.3924;1;30.92006493;0.25420332;49429.91797;90601.30469;0.00597892;75111.45313
5349.5448;1;31.65183449;0.254031122;49471.07813;92036.38281;0.00597354;75073.61719
5349.6972;1;32.38360596;0.253858894;49512.24219;93471.46094;0.00596817;75035.77344
5349.8496;1;33.11537552;0.253686696;49553.40234;94906.53906;0.00596279;74997.92969
5350.002;1;33.83801651;0.253515273;49594.44531;96333.85938;0.0059568;74959.8125
5350.1544;1;34.53746796;0.253404558;49626.4375;97177.5;0.00590436;74900.82813
5350.3068;1;35.22832489;0.253293842;49658.42578;98021.13281;0.00585193;74841.85156
5350.4592;1;35.91918564;0.253183097;49690.41797;98864.76563;0.0057995;74782.875
5350.6116;1;36.61004257;0.253072381;49722.40625;99708.40625;0.00574706;74723.89844
5350.764;1;37.30090332;0.252961636;49754.39844;100552.0391;0.00569463;74664.92188
5350.9164;1;37.99176407;0.25285092;49786.39063;101395.6797;0.0056422;74605.9375
5351.0688;1;38.682621;0.252740204;49818.37891;102239.3125;0.00558976;74546.96094
5351.2212;1;39.37348175;0.252629459;49850.37109;103082.9531;0.00553733;74487.98438
5351.3736;1;40.06433868;0.252518743;49882.36328;103926.5859;0.0054849;74429.00781
5351.526;1;40.75519943;0.252407998;49914.35156;104770.2188;0.00543247;74370.03125
5351.6784;1;41.44606018;0.252297282;49946.34375;105613.8594;0.00538003;74311.04688
5351.8308;1;42.13691711;0.252186567;49978.33594;106457.4922;0.0053276;74252.07031
5351.9832;1;42.82777786;0.252075821;50010.32422;107301.1328;0.00527517;74193.09375
5352.1356;1;43.51863861;0.251965106;50042.31641;108144.7656;0.00522273;74134.11719
5352.288;1;44.20949554;0.25185436;50074.30469;108988.3984;0.0051703;74075.14063
5352.4404;1;44.90035629;0.251743645;50106.29688;109832.0391;0.00511787;74016.15625
5352.5928;1;45.59121323;0.251632929;50138.28906;110675.6719;0.00506543;73957.17969
5352.7452;1;46.28207398;0.251522183;50170.27734;111519.3125;0.005013;73898.20313
5352.8976;1;46.97293091;0.251411468;50202.26953;112362.9453;0.00496057;73839.22656
5353.05;1;47.66379166;0.251300722;50234.26172;113206.5859;0.00490814;73780.25
5353.2024;1;48.35464859;0.251190007;50266.25;114050.2188;0.0048557;73721.26563
5353.3548;1;49.04550934;0.251079291;50298.24219;114893.8516;0.00480327;73662.28906
5353.5072;1;49.73636627;0.250968546;50330.23047;115737.4922;0.00475084;73603.3125
5353.6596;1;50.42722702;0.25085783;50362.22266;116581.125;0.0046984;73544.33594
5353.812;1;51.11808395;0.250747085;50394.21484;117424.7656;0.00464597;73485.35156
5353.9644;1;51.8089447;0.250636369;50426.20313;118268.3984;0.00459354;73426.375
5354.1168;1;52.49980545;0.250525653;50458.19531;119112.0391;0.0045411;73367.39844
5354.2692;1;53.19066238;0.250414908;50490.1875;119955.6719;0.00448867;73308.42188
5354.4216;1;53.88152313;0.250304192;50522.17578;120799.3047;0.00443624;73249.44531
5354.574;1;54.57238007;0.250193447;50554.16797;121642.9453;0.00438381;73190.46094
5354.7264;1;55.26324081;0.250082731;50586.15625;122486.5781;0.00433137;73131.48438
5354.8788;1;55.95410156;0.249972001;50618.14844;123330.2188;0.00427894;73072.50781
5355.0312;1;56.66053391;0.249877214;50631.21094;124005.9922;0.00423206;73004.47656
5355.1836;1;57.42746353;0.249844343;50570.73438;124029.6797;0.00420676;72901.25781
5355.336;1;58.19438934;0.249811456;50510.25391;124053.375;0.00418146;72798.03906
5355.4884;1;58.96131897;0.249778584;50449.77734;124077.0703;0.00415616;72694.82031
5355.6408;1;59.7282486;0.249745697;50389.30078;124100.7578;0.00413086;72591.60156
5355.7932;1;60.49517822;0.249712825;50328.82422;124124.4531;0.00410556;72488.39063
5355.9456;1;61.26210785;0.249679953;50268.34766;124148.1484;0.00408026;72385.17188
5356.098;1;62.02903748;0.249647066;50207.87109;124171.8359;0.00405496;72281.95313
5356.2504;1;62.7959671;0.249614194;50147.39453;124195.5313;0.00402966;72178.73438
5356.4028;1;63.56289673;0.249581307;50086.91797;124219.2188;0.00400436;72075.52344
5356.5552;1;64.32982636;0.249548435;50026.44141;124242.9141;0.00397906;71972.30469
5356.7076;1;65.09674835;0.249515563;49965.96484;124266.6094;0.00395376;71869.08594
5356.86;1;65.86367798;0.249482676;49905.48828;124290.2969;0.00392846;71765.86719
5357.0124;1;66.63060761;0.249449804;49845.01172;124313.9922;0.00390316;71662.64844
5357.1648;1;67.39753723;0.249416918;49784.53516;124337.6875;0.00387786;71559.4375
5357.3172;1;68.16446686;0.249384046;49724.05859;124361.375;0.00385256;71456.21875
5357.4696;1;68.93139648;0.249351174;49663.58203;124385.0703;0.00382726;71353
5357.622;1;69.69832611;0.249318287;49603.10547;124408.7578;0.00380196;71249.78125
5357.7744;1;70.46525574;0.249285415;49542.62891;124432.4531;0.00377666;71146.57031
5357.9268;1;71.23217773;0.249252528;49482.15234;124456.1484;0.00375136;71043.35156
5358.0792;1;71.99910736;0.249219656;49421.67578;124479.8359;0.00372606;70940.13281
5358.2316;1;72.76603699;0.249186784;49361.19531;124503.5313;0.00370076;70836.91406
5358.384;1;73.53296661;0.249153897;49300.71875;124527.2266;0.00367546;70733.69531
5358.5364;1;74.29989624;0.249121025;49240.24219;124550.9141;0.00365016;70630.48438
5358.6888;1;75.06682587;0.249088138;49179.76563;124574.6094;0.00362486;70527.26563
5358.8412;1;75.83376312;0.249055266;49119.28906;124598.3047;0.00359956;70424.04688
5358.9936;1;76.60068512;0.249022394;49058.8125;124621.9922;0.00357426;70320.82813
5359.146;1;77.36761475;0.248989508;48998.33594;124645.6875;0.00354896;70217.61719
5359.2984;1;78.13454437;0.248956636;48937.85938;124669.375;0.00352366;70114.39844
5359.4508;1;78.901474;0.248923749;48877.38281;124693.0703;0.00349836;70011.17969
5359.6032;1;79.66840363;0.248890877;48816.90625;124716.7656;0.00347306;69907.96094
5359.7556;1;80.43533325;0.248858005;48756.42969;124740.4531;0.00344776;69804.74219
5359.908;1;81.20226288;0.248825118;48695.95313;124764.1484;0.00342246;69701.53125
5360.0604;1;81.94526672;0.248834506;48601.73438;124515.2266;0.003412;69546.82813
5360.2128;1;82.66696167;0.248908237;48456.125;123851.0703;0.00342414;69313.71094
5360.3652;1;83.3843689;0.248981983;48310.51563;123186.9063;0.00343628;69080.58594
5360.5176;1;84.10176849;0.249055713;48164.90625;122522.75;0.00344842;68847.46875
