MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
4964.11576;2;3;2;3;2;3;0.484608471;-23.62264824;-15415.35059;18498.77148;0.075247698;19246.88086
4964.26816;2;3;2;3;2;3;0.484280199;-22.96007347;-14915.44043;18514.81055;0.07547462;19399.77148
4964.42056;2;3;2;3;2;3;0.483951926;-22.29748917;-14415.52734;18530.84961;0.075701535;19552.66406
4964.57296;2;3;2;3;2;3;0.483621776;-21.63081932;-13869.85547;18550.58398;0.075885899;19707.92578
4964.72536;2;3;2;3;4;3;0.483281553;-20.94245529;-13080.92871;18589.96289;0.075844042;19875.78125
4964.87776;2;3;2;3;4;3;0.482940674;-20.2526741;-12276.13477;18630.62109;0.075787433;20044.45898
4965.03016;2;3;2;3;4;3;0.482599795;-19.56288719;-11471.33691;18671.2793;0.075730808;20213.13672
4965.18256;2;3;2;3;3;3;0.482258916;-18.87309647;-10666.53711;18711.9375;0.075674176;20381.81836
4965.33496;3;3;3;3;3;3;0.481918037;-18.18330193;-9861.732422;18752.59961;0.075617559;20550.49805
4965.48736;3;3;3;3;3;3;0.481577158;-17.49350357;-9056.923828;18793.26172;0.075560927;20719.17969
4965.63976;2;3;2;3;3;3;0.481236309;-16.80369949;-8252.112305;18833.92383;0.075504296;20887.86328
4965.79216;2;3;2;3;3;3;0.48089543;-16.1138916;-7447.296875;18874.58789;0.075447649;21056.54688
4965.94456;2;3;2;3;3;3;0.480554581;-15.42408085;-6642.478516;18915.25391;0.075391009;21225.23242
4966.09696;2;3;2;3;3;3;0.480213702;-14.73426437;-5837.655273;18955.91992;0.075334363;21393.91797
4966.24936;2;3;2;3;3;3;0.479872853;-14.04444504;-5032.82959;18996.58594;0.075277701;21562.60547
4966.40176;2;3;2;3;3;3;0.479532003;-13.35462093;-4227.999512;19037.25391;0.075221047;21731.29297
4966.55416;2;3;2;3;3;3;0.479191154;-12.66479206;-3423.166016;19077.92383;0.075164393;21899.98047
4966.70656;3;3;3;3;3;3;0.478850275;-11.97495937;-2618.329102;19118.59375;0.075107716;22068.66992
4966.85896;3;3;3;3;3;3;0.478509426;-11.28512383;-1813.488403;19159.26367;0.075051047;22237.36133
4967.01136;3;3;3;3;3;3;0.478168547;-10.59534073;-1008.692078;19199.94141;0.074994378;22406.05469
4967.16376;3;3;3;3;3;3;0.47782746;-9.905921936;-204.1994171;19240.64844;0.074937776;22574.76563
4967.31616;3;3;3;3;3;3;0.477486342;-9.216515541;600.2761841;19281.35742;0.074881166;22743.47852
4967.46856;3;3;3;3;3;3;0.477145255;-8.527095795;1404.754761;19322.06641;0.074824557;22912.19141
4967.62096;3;3;3;3;3;3;0.476804167;-7.837662697;2209.236328;19362.77344;0.074767947;23080.9043
4967.77336;3;3;3;3;3;3;0.47646308;-7.148217678;3013.721191;19403.48047;0.07471133;23249.61719
4967.92576;3;3;3;3;2;3;0.476122022;-6.458759308;3818.20874;19444.1875;0.074654706;23418.33008
4968.07816;4;3;3;3;2;3;0.475780964;-5.76928854;4622.699219;19484.89258;0.074598081;23587.04492
4968.23056;4;3;3;3;2;3;0.475439906;-5.079804897;5427.192871;19525.59961;0.07454145;23755.75781
4968.38296;4;3;3;3;2;3;0.475098878;-4.39030838;6231.689453;19566.30469;0.074484818;23924.47266
4968.53536;4;3;3;3;2;3;0.47475785;-3.700799227;7036.189453;19607.00977;0.074428178;24093.18555
4968.68776;4;3;3;3;2;3;0.474416852;-3.011277199;7840.691895;19647.71289;0.074371539;24261.90039
4968.84016;4;3;3;3;2;3;0.474075824;-2.321742773;8645.197266;19688.41602;0.074314892;24430.61523
4968.99256;4;3;3;3;2;3;0.473734856;-1.632194996;9449.706055;19729.11914;0.074258238;24599.33008
4969.14496;4;3;3;3;2;3;0.473393858;-0.942634702;10254.21875;19769.82227;0.074201576;24768.04297
4969.29736;4;3;3;3;2;3;0.473052889;-0.253061593;11058.7334;19810.52539;0.07414493;24936.75781
4969.44976;4;3;3;3;2;3;0.472711921;0.436524302;11863.25;19851.22656;0.074088268;25105.47461
4969.60216;4;3;3;3;2;3;0.472358435;1.123292089;12752.98047;19923.54883;0.074012853;25309.81055
4969.75456;4;3;3;3;2;3;0.471981049;1.804660797;13805.50879;20056.2832;0.073901646;25582.19922
4969.90696;4;3;3;3;4;3;0.471602142;2.485692263;14868.41895;20192.86523;0.073788136;25858.92383
4970.05936;3;3;3;3;4;3;0.471223235;3.166731119;15931.33301;20329.44727;0.073674612;26135.64844
4970.21176;3;3;3;3;4;3;0.470844358;3.847777367;16994.24805;20466.0293;0.073561102;26412.36719
4970.36416;3;3;3;3;4;3;0.470465452;4.528830528;18057.16797;20602.60742;0.07344757;26689.08594
4970.51656;3;3;3;3;4;3;0.470086575;5.209891319;19120.08984;20739.18555;0.073334061;26965.80273
4970.66896;3;3;3;3;4;3;0.469707727;5.89095974;20183.01563;20875.76367;0.073220536;27242.51563
4970.82136;2;3;2;3;4;3;0.469328851;6.57203579;21245.94531;21012.33789;0.073107012;27519.22852
4970.97376;2;3;2;3;4;3;0.468950003;7.253118515;22308.87695;21148.91211;0.07299348;27795.9375
4971.12616;2;3;2;3;4;3;0.468571186;7.93420887;23371.8125;21285.48242;0.07287994;28072.64453
4971.27856;2;3;2;3;4;3;0.468192369;8.615306854;24434.75;21422.05273;0.072766416;28349.34961
4971.43096;2;3;2;3;4;3;0.467813551;9.296411514;25497.68945;21558.62305;0.072652876;28626.05273
4971.58336;2;3;2;3;4;3;0.467434734;9.977524757;26560.63477;21695.18945;0.072539337;28902.75391
4971.73576;3;3;3;3;4;3;0.467055947;10.65864372;27623.58203;21831.75586;0.07242579;29179.45117
