MD;UpscaledThinLayerRemoval;INSPHASE;AMPCONS;RMS;RAI;FLAT;SWT
5295.138;1;6.484035492;0.264469296;55090.55469;60956.20313;0.00304672;83760.34375
5295.2904;1;7.151414394;0.264378548;55123.77734;62621.91406;0.00300328;83744.98438
5295.4428;1;7.818793774;0.264287829;55157;64287.625;0.00295985;83729.625
5295.5952;1;8.48617363;0.264197081;55190.22266;65953.33594;0.00291642;83714.26563
5295.7476;1;9.153553009;0.264106363;55223.44531;67619.04688;0.00287299;83698.90625
5295.9;1;9.820932388;0.264015615;55256.66797;69284.75781;0.00282956;83683.53906
5296.0524;1;10.48831081;0.263924897;55289.89063;70950.46875;0.00278612;83668.17969
5296.2048;1;11.15569115;0.263834149;55323.11328;72616.17969;0.00274269;83652.82031
5296.3572;1;11.82307053;0.263743401;55356.33594;74281.89063;0.00269926;83637.46094
5296.5096;1;12.49044991;0.263652682;55389.55859;75947.60156;0.00265583;83622.10156
5296.662;1;13.15782929;0.263561934;55422.78125;77613.3125;0.0026124;83606.73438
5296.8144;1;13.82520866;0.263471216;55456.00391;79279.02344;0.00256896;83591.375
5296.9668;1;14.49258804;0.263380468;55489.22656;80944.73438;0.00252553;83576.01563
5297.1192;1;15.15996742;0.26328975;55522.44922;82610.44531;0.0024821;83560.65625
5297.2716;1;15.8273468;0.263199002;55555.67188;84276.15625;0.00243867;83545.29688
5297.424;1;16.49472618;0.263108283;55588.89453;85941.86719;0.00239524;83529.92969
5297.5764;1;17.16210556;0.263017535;55622.11719;87607.57813;0.0023518;83514.57031
5297.7288;1;17.82948494;0.262926787;55655.33984;89273.28906;0.00230837;83499.21094
5297.8812;1;18.49686432;0.262836069;55688.5625;90939;0.00226494;83483.85156
5298.0336;1;19.1642437;0.262745321;55721.78516;92604.71094;0.00222151;83468.49219
5298.186;1;19.83162308;0.262654603;55755.00781;94270.42188;0.00217808;83453.125
5298.3384;1;20.49900246;0.262563855;55788.23047;95936.13281;0.00213464;83437.76563
5298.4908;1;21.16638184;0.262473136;55821.45313;97601.84375;0.00209121;83422.40625
5298.6432;1;21.83376122;0.262382388;55854.67578;99267.55469;0.00204778;83407.04688
5298.7956;1;22.50114059;0.26229167;55887.89844;100933.2656;0.00200435;83391.6875
5298.948;1;23.16851997;0.262200922;55921.12109;102598.9766;0.00196092;83376.32031
5299.1004;1;23.83589935;0.262110204;55954.34375;104264.6875;0.00191748;83360.96094
5299.2528;1;24.50327873;0.262019455;55987.57031;105930.3984;0.00187405;83345.60156
5299.4052;1;25.17065811;0.261928707;56020.79297;107596.1094;0.00183062;83330.24219
5299.5576;1;25.83803749;0.261837989;56054.01563;109261.8203;0.00178719;83314.88281
5299.71;1;26.50541878;0.261747241;56087.23828;110927.5313;0.00174376;83299.52344
5299.8624;1;27.17279625;0.261656523;56120.46094;112593.2422;0.00170032;83284.15625
5300.0148;1;27.84127426;0.261573315;56154.19531;114209.1406;0.00166069;83270.99219
5300.1672;1;28.5118084;0.261560082;56192.69922;115361.9531;0.00165637;83278.1875
5300.3196;1;29.1830616;0.26154685;56231.20313;116514.7656;0.00165206;83285.39063
5300.472;1;29.85431862;0.261533648;56269.70313;117667.5781;0.00164774;83292.59375
5300.6244;1;30.52557373;0.261520416;56308.20703;118820.3828;0.00164342;83299.79688
5300.7768;1;31.19682884;0.261507183;56346.71094;119973.1953;0.0016391;83307
5300.9292;1;31.86808395;0.261493981;56385.21484;121126.0078;0.00163479;83314.20313
5301.0816;1;32.53934097;0.261480749;56423.71484;122278.8203;0.00163047;83321.40625
5301.234;1;33.21059418;0.261467516;56462.21875;123431.625;0.00162615;83328.60938
5301.3864;1;33.8818512;0.261454284;56500.72266;124584.4375;0.00162184;83335.80469
5301.5388;1;34.5531044;0.261441082;56539.22656;125737.25;0.00161752;83343.00781
5301.6912;1;35.22436142;0.26142785;56577.73047;126890.0547;0.0016132;83350.21094
5301.8436;1;35.89561462;0.261414617;56616.23047;128042.8672;0.00160888;83357.41406
5301.996;1;36.56687164;0.261401385;56654.73438;129195.6797;0.00160457;83364.61719
5302.1484;1;37.23812485;0.261388183;56693.23828;130348.4922;0.00160025;83371.82031
5302.3008;1;37.90937805;0.26137495;56731.74219;131501.2969;0.00159593;83379.02344
