MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
5039.320393;2;2;2;2;2;2;0.229710281;23.20097351;101107.1484;69037.96094;0.021678269;97994.07031
5039.472793;2;2;2;2;2;2;0.229712904;23.82146645;102669.9453;69028.53125;0.021487549;97772.51563
5039.625193;2;2;2;2;2;2;0.229715526;24.44195938;104232.7422;69019.09375;0.021296829;97550.96094
5039.777593;2;2;2;2;2;2;0.229718149;25.06245422;105795.5391;69009.66406;0.021106113;97329.40625
5039.929993;2;2;2;2;2;2;0.229720756;25.68295097;107358.3359;69000.22656;0.020915398;97107.85156
5040.082393;2;2;2;2;2;2;0.229723379;26.30344772;108921.1406;68990.79688;0.020724684;96886.29688
5040.234793;2;2;2;2;2;2;0.229726002;26.92394447;110483.9375;68981.35938;0.02053397;96664.73438
5040.387193;2;2;2;2;2;2;0.229728609;27.54444313;112046.7344;68971.92969;0.020343253;96443.17188
5040.539593;2;2;2;2;2;2;0.229731232;28.16494179;113609.5313;68962.49219;0.020152543;96221.60938
5040.691993;2;2;2;2;2;2;0.229733855;28.78544045;115172.3359;68953.0625;0.019961834;96000.04688
5040.844393;2;2;2;2;2;2;0.229736462;29.40594101;116735.1328;68943.63281;0.019771123;95778.47656
5040.996793;2;2;2;2;2;2;0.229754373;30.02101135;118170.5625;68924.61719;0.019609945;95550.35156
5041.149193;2;2;2;2;2;2;0.229813904;30.6213131;119259.6328;68879.54688;0.019529073;95304.39844
5041.301593;2;2;2;2;2;2;0.229901567;31.21162987;120114.5156;68816.85938;0.019502502;95046.39063
5041.453993;2;2;2;2;2;2;0.229989216;31.80194664;120969.3906;68754.17969;0.019475931;94788.38281
5041.606393;2;2;2;2;2;2;0.230076879;32.39226151;121824.2734;68691.49219;0.019449357;94530.36719
5041.758793;3;2;3;2;2;2;0.230164543;32.98257828;122679.1484;68628.80469;0.019422783;94272.35938
5041.911193;3;2;3;2;2;2;0.230252191;33.57289505;123534.0313;68566.125;0.019396212;94014.34375
5042.063593;3;2;3;2;2;2;0.230339855;34.16320801;124388.9141;68503.4375;0.019369641;93756.32813
5042.215993;3;2;3;2;2;2;0.230427504;34.75352097;125243.7891;68440.75781;0.019343067;93498.3125
5042.368393;3;2;3;2;2;2;0.230515167;35.34383774;126098.6719;68378.07031;0.019316493;93240.29688
5042.520793;3;2;3;2;2;2;0.230602816;35.9341507;126953.5547;68315.39063;0.019289922;92982.28125
5042.673193;3;2;3;2;2;2;0.230690479;36.52445984;127808.4375;68252.70313;0.019263351;92724.26563
5042.825593;2;2;2;2;2;2;0.230778143;37.1147728;128663.3125;68190.01563;0.019236783;92466.24219
5042.977993;2;2;2;2;2;2;0.230865791;37.70508575;129518.1953;68127.33594;0.019210212;92208.22656
5043.130393;2;2;2;2;2;2;0.230953455;38.2953949;130373.0781;68064.65625;0.019183638;91950.20313
5043.282793;2;2;2;2;2;2;0.231041104;38.88570404;131227.9531;68001.96875;0.019157061;91692.17969
5043.435193;2;2;2;2;2;2;0.231128767;39.47601318;132082.8438;67939.28906;0.019130493;91434.16406
5043.587593;2;2;2;2;2;2;0.231216431;40.06632233;132937.7188;67876.60156;0.019103922;91176.14063
5043.739993;2;2;2;2;2;2;0.231304079;40.65663147;133792.6094;67813.92188;0.019077351;90918.11719
5043.892393;2;2;2;2;2;2;0.231391743;41.24694061;134647.4844;67751.23438;0.019050783;90660.09375
5044.044793;2;2;2;2;2;2;0.231479392;41.83724976;135502.375;67688.55469;0.019024212;90402.0625
5044.197193;2;2;2;2;2;2;0.231567055;42.4275589;136357.25;67625.875;0.018997641;90144.03906
5044.349593;2;2;2;2;2;2;0.231654704;43.01786423;137212.1406;67563.1875;0.018971073;89886.01563
